DATE,Price,Year,Month,Unemployment Rate,Cons_Materials_Price,Interest Rate,Per_Capital_GDP,Num_Households,Income,Subsidy
2003-01-01,128.46,2003,1,5.8,144.4,1.24,50462.0,111278.0,10710.4,25.93
2003-02-01,129.36,2003,2,5.9,145.2,1.26,50573.333333333336,121771.5,10674.0,33.5445
2003-03-01,130.15,2003,3,5.9,145.2,1.25,50684.666666666664,121771.5,10696.5,33.5445
2003-04-01,130.88,2003,4,6.0,145.9,1.26,50796.0,121771.5,10752.7,33.5445
2003-05-01,131.74,2003,5,6.1,145.8,1.26,51034.666666666664,121771.5,10832.0,33.5445
2003-06-01,132.65,2003,6,6.3,146.1,1.22,51273.333333333336,121771.5,10860.6,33.5445
2003-07-01,133.78,2003,7,6.2,147.0,1.01,51512.0,121771.5,10991.1,33.5445
2003-08-01,134.97,2003,8,6.1,147.2,1.03,51670.0,121771.5,11066.7,33.5445
2003-09-01,136.29,2003,9,6.1,149.0,1.01,51828.0,121771.5,10940.8,33.5445
2003-10-01,137.53,2003,10,6.0,149.6,1.01,51986.0,121771.5,10982.3,33.5445
2003-11-01,138.79,2003,11,5.8,150.2,1.0,52050.333333333336,121771.5,11048.4,33.5445
2003-12-01,140.18,2003,12,5.7,149.7,0.98,52114.666666666664,121771.5,11057.2,33.5445
2004-01-01,141.65,2004,1,5.7,150.0,1.0,52179.0,112000.0,11051.2,27.201
2004-02-01,143.19,2004,2,5.6,153.4,1.01,52275.666666666664,121771.5,11071.0,33.5445
2004-03-01,145.06,2004,3,5.8,156.5,1.0,52372.333333333336,121771.5,11115.6,33.5445
2004-04-01,146.59,2004,4,5.6,160.1,1.0,52469.0,121771.5,11153.3,33.5445
2004-05-01,148.19,2004,5,5.6,162.7,1.0,52591.0,121771.5,11208.9,33.5445
2004-06-01,149.85,2004,6,5.6,162.0,1.03,52713.0,121771.5,11215.8,33.5445
2004-07-01,151.34,2004,7,5.5,162.2,1.26,52835.0,121771.5,11240.5,33.5445
2004-08-01,152.63,2004,8,5.4,165.9,1.43,52970.666666666664,121771.5,11274.6,33.5445
2004-09-01,154.18,2004,9,5.4,167.2,1.61,53106.333333333336,121771.5,11279.6,33.5445
2004-10-01,155.75,2004,10,5.5,165.9,1.76,53242.0,121771.5,11282.5,33.5445
2004-11-01,157.53,2004,11,5.4,165.5,1.93,53401.0,121771.5,11246.1,33.5445
2004-12-01,159.33,2004,12,5.4,166.3,2.16,53560.0,121771.5,11659.0,33.5445
2005-01-01,161.29,2005,1,5.3,168.6,2.28,53719.0,113343.0,11226.5,27.651
2005-02-01,163.34,2005,2,5.4,170.4,2.5,53768.666666666664,121771.5,11229.0,33.5445
2005-03-01,165.81,2005,3,5.2,170.0,2.63,53818.333333333336,121771.5,11268.8,33.5445
2005-04-01,167.5,2005,4,5.2,170.0,2.79,53868.0,121771.5,11304.2,33.5445
2005-05-01,169.35,2005,5,5.1,168.1,3.0,53963.0,121771.5,11352.7,33.5445
2005-06-01,171.19,2005,6,5.0,167.8,3.04,54058.0,121771.5,11375.5,33.5445
2005-07-01,172.86,2005,7,5.0,167.2,3.26,54153.0,121771.5,11387.1,33.5445
2005-08-01,174.44,2005,8,4.9,165.9,3.5,54207.666666666664,121771.5,11405.3,33.5445
2005-09-01,176.44,2005,9,5.0,168.9,3.62,54262.333333333336,121771.5,11365.2,33.5445
2005-10-01,178.03,2005,10,5.0,171.6,3.78,54317.0,121771.5,11428.7,33.5445
2005-11-01,179.68,2005,11,5.0,172.7,4.0,54520.333333333336,121771.5,11500.1,33.5445
2005-12-01,180.91,2005,12,4.9,173.5,4.16,54723.666666666664,121771.5,11535.2,33.5445
2006-01-01,182.32,2006,1,4.7,177.2,4.29,54927.0,114384.0,11651.8,28.604
2006-02-01,183.29,2006,2,4.8,177.7,4.49,54933.0,121771.5,11702.8,33.5445
2006-03-01,184.36,2006,3,4.7,178.3,4.59,54939.0,121771.5,11747.5,33.5445
2006-04-01,184.33,2006,4,4.7,179.0,4.79,54945.0,121771.5,11744.4,33.5445
2006-05-01,184.16,2006,5,4.6,179.9,4.94,54925.333333333336,121771.5,11736.8,33.5445
2006-06-01,183.51,2006,6,4.6,180.7,4.99,54905.666666666664,121771.5,11751.9,33.5445
2006-07-01,183.07,2006,7,4.7,182.3,5.24,54886.0,121771.5,11746.9,33.5445
2006-08-01,182.59,2006,8,4.7,182.6,5.25,54996.0,121771.5,11737.0,33.5445
2006-09-01,182.8,2006,9,4.5,183.3,5.25,55106.0,121771.5,11800.1,33.5445
2006-10-01,183.2,2006,10,4.4,182.3,5.25,55216.0,121771.5,11853.7,33.5445
2006-11-01,183.61,2006,11,4.5,179.8,5.25,55230.666666666664,121771.5,11901.9,33.5445
2006-12-01,184.14,2006,12,4.4,179.8,5.24,55245.333333333336,121771.5,11958.6,33.5445
2007-01-01,184.52,2007,1,4.6,181.1,5.25,55260.0,116011.0,11956.6,29.512
2007-02-01,184.6,2007,2,4.5,181.5,5.26,55331.333333333336,121771.5,11996.0,33.5445
2007-03-01,184.15,2007,3,4.4,182.5,5.26,55402.666666666664,121771.5,12035.1,33.5445
2007-04-01,183.01,2007,4,4.5,183.7,5.25,55474.0,121771.5,12052.8,33.5445
2007-05-01,181.6,2007,5,4.4,184.0,5.25,55532.333333333336,121771.5,12059.9,33.5445
2007-06-01,180.25,2007,6,4.6,184.0,5.25,55590.666666666664,121771.5,12053.3,33.5445
2007-07-01,179.11,2007,7,4.7,184.2,5.26,55649.0,121771.5,12066.4,33.5445
2007-08-01,178.12,2007,8,4.6,183.9,5.02,55718.333333333336,121771.5,12070.9,33.5445
2007-09-01,177.56,2007,9,4.7,183.4,4.94,55787.666666666664,121771.5,12089.6,33.5445
2007-10-01,176.62,2007,10,4.7,183.0,4.76,55857.0,121771.5,12080.4,33.5445
2007-11-01,175.15,2007,11,4.7,183.3,4.49,55737.0,121771.5,12070.1,33.5445
2007-12-01,174.34,2007,12,5.0,183.5,4.24,55617.0,121771.5,12120.5,33.5445
2008-01-01,173.13,2008,1,5.0,184.3,3.94,55497.0,116783.0,12137.1,29.876
2008-02-01,171.54,2008,2,4.9,185.7,2.98,55566.333333333336,121771.5,12141.8,33.5445
2008-03-01,170.05,2008,3,5.1,187.8,2.61,55635.666666666664,121771.5,12145.9,33.5445
2008-04-01,168.34,2008,4,5.0,190.9,2.28,55705.0,121771.5,12100.8,33.5445
2008-05-01,166.66,2008,5,5.4,195.8,1.98,55562.666666666664,121771.5,12696.2,33.5445
2008-06-01,165.02,2008,6,5.6,200.4,2.0,55420.333333333336,121771.5,12376.6,33.5445
2008-07-01,163.57,2008,7,5.8,203.4,2.01,55278.0,121771.5,12188.7,33.5445
2008-08-01,161.99,2008,8,6.1,206.5,2.0,54832.333333333336,121771.5,12120.6,33.5445
2008-09-01,160.31,2008,9,6.1,206.3,1.81,54386.666666666664,121771.5,12149.0,33.5445
2008-10-01,158.33,2008,10,6.5,201.8,0.97,53941.0,121771.5,12240.5,33.5445
2008-11-01,156.14,2008,11,6.8,199.6,0.39,53701.0,121771.5,12345.9,33.5445
2008-12-01,153.62,2008,12,7.3,194.8,0.16,53461.0,121771.5,12288.8,33.5445
2009-01-01,151.51,2009,1,7.8,193.3,0.15,53221.0,117181.0,12361.5,32.883
2009-02-01,150.02,2009,2,8.3,191.2,0.22,53153.0,121771.5,12241.9,33.5445
2009-03-01,148.66,2009,3,8.7,190.2,0.18,53085.0,121771.5,12242.7,33.5445
2009-04-01,147.95,2009,4,9.0,188.1,0.15,53017.0,121771.5,12320.0,33.5445
2009-05-01,147.69,2009,5,9.4,186.9,0.18,53038.333333333336,121771.5,12500.1,33.5445
2009-06-01,148.09,2009,6,9.5,187.1,0.21,53059.666666666664,121771.5,12273.2,33.5445
2009-07-01,148.41,2009,7,9.5,187.6,0.16,53081.0,121771.5,12218.7,33.5445
2009-08-01,148.28,2009,8,9.6,188.1,0.16,53231.0,121771.5,12194.8,33.5445
2009-09-01,148.03,2009,9,9.8,189.3,0.15,53381.0,121771.5,12230.6,33.5445
2009-10-01,147.85,2009,10,10.0,189.7,0.12,53531.0,121771.5,12193.2,33.5445
2009-11-01,148.13,2009,11,9.9,189.2,0.12,53581.666666666664,121771.5,12224.4,33.5445
2009-12-01,147.93,2009,12,9.9,189.4,0.12,53632.333333333336,121771.5,12280.2,33.5445
2010-01-01,147.4,2010,1,9.8,190.3,0.11,53683.0,117538.0,12285.8,32.669
2010-02-01,145.63,2010,2,9.8,192.2,0.13,53822.0,121771.5,12292.0,33.5445
2010-03-01,145.86,2010,3,9.9,193.7,0.16,53961.0,121771.5,12340.3,33.5445
2010-04-01,146.4,2010,4,9.9,196.5,0.2,54100.0,121771.5,12447.1,33.5445
2010-05-01,146.39,2010,5,9.6,198.9,0.2,54200.333333333336,121771.5,12540.3,33.5445
2010-06-01,145.72,2010,6,9.4,197.2,0.18,54300.666666666664,121771.5,12544.3,33.5445
2010-07-01,144.99,2010,7,9.4,195.6,0.18,54401.0,121771.5,12554.2,33.5445
2010-08-01,143.92,2010,8,9.5,194.1,0.19,54457.0,121771.5,12591.4,33.5445
2010-09-01,143.02,2010,9,9.5,193.9,0.19,54513.0,121771.5,12589.9,33.5445
2010-10-01,142.53,2010,10,9.4,193.8,0.19,54569.0,121771.5,12592.5,33.5445
2010-11-01,142.17,2010,11,9.8,193.6,0.19,54493.0,121771.5,12605.1,33.5445
2010-12-01,142.06,2010,12,9.3,194.2,0.18,54417.0,121771.5,12680.6,33.5445
2011-01-01,141.52,2011,1,9.1,195.9,0.17,54341.0,119927.0,12740.1,34.23
2011-02-01,140.35,2011,2,9.0,198.1,0.16,54430.666666666664,121771.5,12776.6,33.5445
2011-03-01,139.98,2011,3,9.0,199.7,0.14,54520.333333333336,121771.5,12742.7,33.5445
2011-04-01,140.01,2011,4,9.1,201.1,0.1,54610.0,121771.5,12721.3,33.5445
2011-05-01,139.91,2011,5,9.0,201.6,0.09,54567.333333333336,121771.5,12705.3,33.5445
2011-06-01,139.86,2011,6,9.1,201.9,0.09,54524.666666666664,121771.5,12756.9,33.5445
2011-07-01,139.73,2011,7,9.0,202.6,0.07,54482.0,121771.5,12805.6,33.5445
2011-08-01,139.31,2011,8,9.0,202.8,0.1,54647.666666666664,121771.5,12799.7,33.5445
2011-09-01,138.67,2011,9,9.0,202.7,0.08,54813.333333333336,121771.5,12781.7,33.5445
2011-10-01,137.95,2011,10,8.8,202.7,0.07,54979.0,121771.5,12791.9,33.5445
2011-11-01,137.15,2011,11,8.6,202.2,0.08,55100.0,121771.5,12782.7,33.5445
2011-12-01,136.67,2011,12,8.5,202.2,0.07,55221.0,121771.5,12898.5,33.5445
2012-01-01,136.61,2012,1,8.3,203.9,0.08,55342.0,121084.0,12967.5,33.283
2012-02-01,136.53,2012,2,8.3,205.1,0.1,55391.333333333336,121771.5,13029.6,33.5445
2012-03-01,137.9,2012,3,8.2,205.7,0.13,55440.666666666664,121771.5,13066.4,33.5445
2012-04-01,139.15,2012,4,8.2,206.3,0.14,55490.0,121771.5,13116.5,33.5445
2012-05-01,140.16,2012,5,8.2,206.5,0.16,55478.0,121771.5,13112.5,33.5445
2012-06-01,141.03,2012,6,8.2,206.6,0.16,55466.0,121771.5,13097.2,33.5445
2012-07-01,141.67,2012,7,8.2,206.2,0.16,55454.0,121771.5,12999.8,33.5445
